"2005","Num studies:1","","2006","Num studies:1","","2008","Num studies:4","","2009","Num studies:3","","2010","Num studies:1","","2011","Num studies:1","","2012","Num studies:2","","2013","Num studies:3","","2014","Num studies:2","","2015","Num studies:3","","2016","Num studies:4","","2017","Num studies:4","","2018","Num studies:4","","2019","Num studies:9","","2020","Num studies:7","","2021","Num studies:3","","2022","Num studies:3","","2023","Num studies:1","","2025","Num studies:1","","No Start Date","Num studies:2",""
"","","","","","","p53",1,"0.05924170616113744%","","","","","","","","","","","","","","","","","","","","","","fuel",1,"0.13440860215053763%","","","","relaxation",1,"0.04681647940074907%","transcriptase",1,"0.01532567049808429%","directly",1,"0.050658561296859174%","","","","intervention",1,"0.2178649237472767%","","","","","","","","",""
"","","","","","","20s",1,"0.05924170616113744%","","","","","","","","","","","","","","","","","","","","","","safely",1,"0.13440860215053763%","","","","hypnosis",1,"0.04681647940074907%","htert",1,"0.01532567049808429%","next-generation",1,"0.050658561296859174%","","","","experiencing",1,"0.2178649237472767%","","","","","","","","",""
"","","","","","","proteasome",1,"0.05924170616113744%","","","","","","","","","","","","","","","","","","","","","","allow",1,"0.13440860215053763%","","","","recommendedin",1,"0.04681647940074907%","nonclinical",1,"0.01532567049808429%","current",1,"0.050658561296859174%","","","","infectious",1,"0.2178649237472767%","","","","","","","","",""
"","","","","","","alpha",1,"0.05924170616113744%","","","","","","","","","","","","","","","","","","","","","","researchers",1,"0.13440860215053763%","","","","cases",1,"0.04681647940074907%","severe",1,"0.01532567049808429%","widely",1,"0.050658561296859174%","","","","diseases",1,"0.2178649237472767%","","","","","","","","",""
"","","","","","","subunit",1,"0.05924170616113744%","","","","","","","","","","","","","","","","","","","","","","see",1,"0.13440860215053763%","","","","analgesia",1,"0.04681647940074907%","late",1,"0.01532567049808429%","up",1,"0.050658561296859174%","","","","consists",1,"0.2178649237472767%","","","","","","","","",""
"","","","","","","abc1",1,"0.05924170616113744%","","","","","","","","","","","","","","","","","","","","","","scans",1,"0.13440860215053763%","","","","deemed",1,"0.04681647940074907%","mouse",1,"0.01532567049808429%","age",1,"0.050658561296859174%","","","","components",1,"0.2178649237472767%","","","","","","","","",""
"","","","","","","transporter",1,"0.05924170616113744%","","","","","","","","","","","","","","","","","","","","","","consuming",1,"0.13440860215053763%","","","","insufficient",1,"0.04681647940074907%","models",1,"0.01532567049808429%","male",1,"0.050658561296859174%","","","","e-consultation",1,"0.2178649237472767%","","","","","","","","",""
"","","","","","","p21",1,"0.05924170616113744%","","","","","","","","","","","","","","","","","","","","","","chilled",1,"0.13440860215053763%","","","","efficiency",1,"0.04681647940074907%","significantly",1,"0.01532567049808429%","female",1,"0.050658561296859174%","","","","3",1,"0.2178649237472767%","","","","","","","","",""
"","","","","","","waf1",1,"0.05924170616113744%","","","","","","","","","","","","","","","","","","","","","","ounce",1,"0.13440860215053763%","","","","hypnoalgia",1,"0.04681647940074907%","amount",1,"0.01532567049808429%","50-100",1,"0.050658561296859174%","","","","stewardship",1,"0.2178649237472767%","","","","","","","","",""
"","","","","","","cip1",1,"0.05924170616113744%","","","","","","","","","","","","","","","","","","","","","","shake",1,"0.13440860215053763%","","","","invasive",1,"0.04681647940074907%","tau",1,"0.01532567049808429%","consists",1,"0.050658561296859174%","","","","including",1,"0.2178649237472767%","","","","","","","","",""
"","","","","","","14-3-3",1,"0.05924170616113744%","","","","","","","","","","","","","","","","","","","","","","which",1,"0.13440860215053763%","","","","gestures",1,"0.04681647940074907%","proteins",1,"0.01532567049808429%","three",1,"0.050658561296859174%","","","","pharmacists",1,"0.2178649237472767%","","","","","","","","",""
"","","","","","","sigma",1,"0.05924170616113744%","","","","","","","","","","","","","","","","","","","","","","contains",1,"0.13440860215053763%","","","","young",1,"0.04681647940074907%","multifunctional",1,"0.01532567049808429%","cohorts",1,"0.050658561296859174%","","","","","","","","","","","","","","",""
"","","","","","","factor",1,"0.05924170616113744%","","","","","","","","","","","","","","","","","","","","","","various",1,"0.13440860215053763%","","","","children",1,"0.04681647940074907%","effect",1,"0.01532567049808429%","tracers",1,"0.050658561296859174%","","","","","","","","","","","","","","",""
"","","","","","","mmp-9",1,"0.05924170616113744%","","","","","","","","","","","","","","","","","","","","","","dietary",1,"0.13440860215053763%","","","","university",1,"0.04681647940074907%","makes",1,"0.01532567049808429%","positron",1,"0.050658561296859174%","","","","","","","","","","","","","","",""
"","","","","","","mmp-14",1,"0.05924170616113744%","","","","","","","","","","","","","","","","","","","","","","dual-tracer",1,"0.13440860215053763%","","","","hospital",1,"0.04681647940074907%","promising",1,"0.01532567049808429%","emission",1,"0.050658561296859174%","","","","","","","","","","","","","","",""
"","","","","","","timp-1",1,"0.05924170616113744%","","","","","","","","","","","","","","","","","","","","","","calorie",1,"0.13440860215053763%","","","","developed",1,"0.04681647940074907%","option",1,"0.01532567049808429%","tomography",1,"0.050658561296859174%","","","","","","","","","","","","","","",""
"","","","","","","assumption",1,"0.05924170616113744%","","","","","","","","","","","","","","","","","","","","","","undergo",1,"0.13440860215053763%","","","","training",1,"0.04681647940074907%","multicenter",1,"0.01532567049808429%","pet",1,"0.050658561296859174%","","","","","","","","","","","","","","",""
"","","","","","","differ",1,"0.05924170616113744%","","","","","","","","","","","","","","","","","","","","","","remaining",1,"0.13440860215053763%","","","","implemented",1,"0.04681647940074907%","double-blind",1,"0.01532567049808429%","done",1,"0.050658561296859174%","","","","","","","","","","","","","","",""
"","","","","","","mrnas",1,"0.05924170616113744%","","","","","","","","","","","","","","","","","","","","","","prior",1,"0.13440860215053763%","","","","neurological",1,"0.04681647940074907%","placebo-controlled",1,"0.01532567049808429%","previous",1,"0.050658561296859174%","","","","","","","","","","","","","","",""
"","","","","","","should",1,"0.05924170616113744%","","","","","","","","","","","","","","","","","","","","","","second",1,"0.13440860215053763%","","","","disorders",1,"0.04681647940074907%","finding",1,"0.01532567049808429%","selected",1,"0.050658561296859174%","","","","","","","","","","","","","","",""
"","","","","","","exist",1,"0.05924170616113744%","","","","","","","","","","","","","","","","","","","","","","session",1,"0.13440860215053763%","","","","unit",1,"0.04681647940074907%","parallel-group",1,"0.01532567049808429%","baltimore",1,"0.050658561296859174%","","","","","","","","","","","","","","",""
"","","","","","","purpose",1,"0.1059322033898305%","","","","","","","","","","","","","","","","","","","","","","designed",1,"0.13440860215053763%","","","","reduction",1,"0.04681647940074907%","iia",1,"0.01532567049808429%","longitudinal",1,"0.050658561296859174%","","","","","","","","","","","","","","",""
"","","","","","","medication",1,"0.1059322033898305%","","","","","","","","","","","","","","","","","","","","","","identical",1,"0.13440860215053763%","","","","even",1,"0.04681647940074907%","population",1,"0.01532567049808429%","aging",1,"0.050658561296859174%","","","","","","","","","","","","","","",""
"","","","","","","ritalin",1,"0.1059322033898305%","","","","","","","","","","","","","","","","","","","","","","only",1,"0.13440860215053763%","","","","suppression",1,"0.04681647940074907%","comprised",1,"0.01532567049808429%","blsa",1,"0.050658561296859174%","","","","","","","","","","","","","","",""
"","","","","","","improve",1,"0.1059322033898305%","","","","","","","","","","","","","","","","","","","","","","vary",1,"0.13440860215053763%","","","","limitation",1,"0.04681647940074907%","female",1,"0.01532567049808429%","irb00047185",1,"0.050658561296859174%","","","","","","","","","","","","","","",""
"","","","","","","blood-sugar",1,"0.1059322033898305%","","","","","","","","","","","","","","","","","","","","","","randomization",1,"0.13440860215053763%","","","","apprehension",1,"0.04681647940074907%","55",1,"0.01532567049808429%","reanalyzed",1,"0.050658561296859174%","","","","","","","","","","","","","","",""
"","","","","","","control",1,"0.1059322033898305%","","","","","","","","","","","","","","","","","","","","","","either",1,"0.13440860215053763%","","","","judged",1,"0.04681647940074907%","85",1,"0.01532567049808429%","2b",1,"0.050658561296859174%","","","","","","","","","","","","","","",""
"","","","","","","improving",1,"0.1059322033898305%","","","","","","","","","","","","","","","","","","","","","","test",1,"0.13440860215053763%","","","","satisfactory",1,"0.04681647940074907%","years",1,"0.01532567049808429%","show",1,"0.050658561296859174%","","","","","","","","","","","","","","",""
"","","","","","","more",1,"0.1059322033898305%","","","","","","","","","","","","","","","","","","","","","","re-test",1,"0.13440860215053763%","","","","practionner",1,"0.04681647940074907%","age",1,"0.01532567049808429%","choroid",1,"0.050658561296859174%","","","","","","","","","","","","","","",""
"","","","","","","than",1,"0.1059322033898305%","","","","","","","","","","","","","","","","","","","","","","learning",1,"0.13440860215053763%","","","","nurse",1,"0.04681647940074907%","inclusive",1,"0.01532567049808429%","plexus",1,"0.050658561296859174%","","","","","","","","","","","","","","",""
"","","","","","","objectives",1,"0.1059322033898305%","","","","","","","","","","","","","","","","","","","","","","equally",1,"0.13440860215053763%","","","","practicing",1,"0.04681647940074907%","diagnosis",1,"0.01532567049808429%","visual",1,"0.050658561296859174%","","","","","","","","","","","","","","",""
"","","","","","","improves",1,"0.1059322033898305%","","","","","","","","","","","","","","","","","","","","","","distributed",1,"0.13440860215053763%","","","","regularly",1,"0.04681647940074907%","probable",1,"0.01532567049808429%","analog",1,"0.050658561296859174%","","","","","","","","","","","","","","",""
"","","","","","","treatment",1,"0.1059322033898305%","","","","","","","","","","","","","","","","","","","","","","between",1,"0.13440860215053763%","","","","however",1,"0.04681647940074907%","based",1,"0.01532567049808429%","scale",1,"0.050658561296859174%","","","","","","","","","","","","","","",""
"","","","","","","being",1,"0.1059322033898305%","","","","","","","","","","","","","","","","","","","","","","groups",1,"0.13440860215053763%","","","","evalusation",1,"0.04681647940074907%","national",1,"0.01532567049808429%","low",1,"0.050658561296859174%","","","","","","","","","","","","","","",""
"","","","","","","conducted",1,"0.1059322033898305%","","","","","","","","","","","","","","","","","","","","","","consists",1,"0.13440860215053763%","","","","subjective",1,"0.04681647940074907%","institute",1,"0.01532567049808429%","none",1,"0.050658561296859174%","","","","","","","","","","","","","","",""
"","","","","","","unmc",1,"0.1059322033898305%","","","","","","","","","","","","","","","","","","","","","","place",1,"0.13440860215053763%","","","","clinically-based",1,"0.04681647940074907%","neurological",1,"0.01532567049808429%","studied",1,"0.050658561296859174%","","","","","","","","","","","","","","",""
"","","","","","","omaha",1,"0.1059322033898305%","","","","","","","","","","","","","","","","","","","","","","purposes",1,"0.11627906976744186%","","","","seems",1,"0.04681647940074907%","communicative",1,"0.01532567049808429%","either",1,"0.050658561296859174%","","","","","","","","","","","","","","",""
"","","","","","","va",1,"0.1059322033898305%","","","","","","","","","","","","","","","","","","","","","","indicators",1,"0.11627906976744186%","","","","relevantto",1,"0.04681647940074907%","stroke-alzheimer",1,"0.01532567049808429%","2nd",1,"0.050658561296859174%","","","","","","","","","","","","","","",""
"","","","","","","medical",1,"0.1059322033898305%","","","","","","","","","","","","","","","","","","","","","","case",1,"0.11627906976744186%","","","","analyse",1,"0.04681647940074907%","association",1,"0.01532567049808429%","scan",1,"0.050658561296859174%","","","","","","","","","","","","","","",""
"","","","","","","center",1,"0.1059322033898305%","","","","","","","","","","","","","","","","","","","","","","manager",1,"0.11627906976744186%","","","","effect",1,"0.04681647940074907%","nincds",1,"0.01532567049808429%","within",1,"0.050658561296859174%","","","","","","","","","","","","","","",""
"","","","","","","take",1,"0.1059322033898305%","","","","","","","","","","","","","","","","","","","","","","messaging",1,"0.11627906976744186%","","","","order",1,"0.04681647940074907%","adrda",1,"0.01532567049808429%","month",1,"0.050658561296859174%","","","","","","","","","","","","","","",""
"","","","","","","form",1,"0.1059322033898305%","","","","","","","","","","","","","","","","","","","","","","applications",1,"0.11627906976744186%","","","","th",1,"0.04681647940074907%","meet",1,"0.01532567049808429%","project",1,"0.09157509157509158%","","","","","","","","","","","","","","",""
"","","","","","","capsule",1,"0.1059322033898305%","","","","","","","","","","","","","","","","","","","","","","improves",1,"0.11627906976744186%","","","","technique",1,"0.04681647940074907%","diagnostic",1,"0.01532567049808429%","efficacy",1,"0.09157509157509158%","","","","","","","","","","","","","","",""
"","","","","","","whether",1,"0.1059322033898305%","","","","","","","","","","","","","","","","","","","","","","obtain",1,"0.11627906976744186%","","","","effective",1,"0.04681647940074907%","statistical",1,"0.01532567049808429%","receptive",1,"0.09157509157509158%","","","","","","","","","","","","","","",""
