"2001","Num studies:1","","2002","Num studies:1","","2005","Num studies:2","","2007","Num studies:5","","2009","Num studies:3","","2010","Num studies:2","","2012","Num studies:5","","2013","Num studies:2","","2014","Num studies:6","","2015","Num studies:8","","2016","Num studies:20","","2017","Num studies:18","","2018","Num studies:48","","2019","Num studies:59","","2020","Num studies:85","","2021","Num studies:159","","2022","Num studies:133","","2023","Num studies:1",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","systematic",1,"0.0025437525437525437%","screen",1,"0.01303780964797914%","disrupted",1,"0.00364232380258605%","intrinsic",2,"0.0022198425902981815%","interfaces",2,"0.00340988525736109%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","comprises",1,"0.0025437525437525437%","diagnose",1,"0.01303780964797914%","glands",1,"0.00364232380258605%","oscillatory",2,"0.0022198425902981815%","static",2,"0.00340988525736109%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","family-formal",1,"0.0025437525437525437%","paad-2",1,"0.004544008724496751%","recess",1,"0.00364232380258605%","mice",2,"0.0028237123761047844%","disclosing",2,"0.002179361447096001%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","partnerships",1,"0.0025437525437525437%","heightened",1,"0.004544008724496751%","ventricle",1,"0.00364232380258605%","immunogenicity",2,"0.025842859591524596%","imminent",2,"0.002179361447096001%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","regular",1,"0.0025437525437525437%","fh",1,"0.004544008724496751%","never",1,"0.00364232380258605%","76-week",2,"0.0026150969547195963%","converting",2,"0.002179361447096001%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","meetings",1,"0.0025437525437525437%","gather",1,"0.004544008724496751%","nor",1,"0.00364232380258605%","sub-studies",2,"0.0026150969547195963%","experts",2,"0.002179361447096001%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","behind",1,"0.0025437525437525437%","greatest",1,"0.004544008724496751%","pave",1,"0.00364232380258605%","noted",2,"0.0016099190627492516%","refined",2,"0.002179361447096001%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","anxiety",1,"0.0025437525437525437%","exploring",1,"0.004544008724496751%","invasive",1,"0.00364232380258605%","introduction",2,"0.0025242801523124975%","comprehensibility",2,"0.002179361447096001%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gardening",1,"0.0025437525437525437%","realized",1,"0.004544008724496751%","possibly",1,"0.00364232380258605%","systemic",2,"0.0032875929102344197%","personalized",2,"0.002179361447096001%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","humor",1,"0.0025437525437525437%","extend",1,"0.004544008724496751%","circadian",1,"0.00364232380258605%","exercised",2,"0.004192872117400419%","well-accepted",2,"0.002179361447096001%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","five",1,"0.0025437525437525437%","proposing",1,"0.004544008724496751%","disrupting",1,"0.00364232380258605%","transfusions",2,"0.004192872117400419%","cullen",2,"0.002179361447096001%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","acceptability",1,"0.0025437525437525437%","causal",1,"0.004544008724496751%","furhtermore",1,"0.00364232380258605%","double-blinded",2,"0.003778069260866153%","et",2,"0.002179361447096001%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","empowered",1,"0.0025437525437525437%","integrity",1,"0.004544008724496751%","exerts",1,"0.00364232380258605%","norwegian",2,"0.004192872117400419%","al",2,"0.002179361447096001%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","precluded",1,"0.0025437525437525437%","putative",1,"0.004544008724496751%","anti-ad",1,"0.00364232380258605%","hospitals",2,"0.003446073006361289%","disclose",2,"0.002179361447096001%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cluster",1,"0.0025437525437525437%","mediation",1,"0.004544008724496751%","tilting",1,"0.00364232380258605%","m2",2,"0.002382443706544713%","meant",2,"0.002179361447096001%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","concomitant",1,"0.0025437525437525437%","assign",1,"0.004544008724496751%","towards",1,"0.00364232380258605%","virus",2,"0.003653195508230068%","comprehension",2,"0.002179361447096001%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","describe",1,"0.0025437525437525437%","240",1,"0.004544008724496751%","non-amyloidogenic",1,"0.00364232380258605%","st",2,"0.0051643912665541745%","hopelessness",2,"0.002179361447096001%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","power",1,"0.0025437525437525437%","1-year",1,"0.004544008724496751%","exerting",1,"0.00364232380258605%","kin",2,"0.0037916673730130474%","psychologically",2,"0.002179361447096001%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80",1,"0.0025437525437525437%","year-long",1,"0.004544008724496751%","exists",1,"0.00364232380258605%","2018",2,"0.003778069260866153%","moving",2,"0.002179361447096001%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","significance",1,"0.0025437525437525437%","own",1,"0.004544008724496751%","sub",1,"0.00364232380258605%","volumetric",2,"0.006542921414411535%","bcg",2,"0.018338529249954154%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","medium",1,"0.0025437525437525437%","resistance",1,"0.004544008724496751%","radiotracers",1,"0.04201680672268908%","variant",2,"0.003811701924909472%","demonstrated",2,"0.002516857730249806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","attrition",1,"0.0025437525437525437%","led",1,"0.004544008724496751%","gtp1",1,"0.04201680672268908%","pam",2,"0.003811701924909472%","transfer",2,"0.004346125429179886%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","post-implementation",1,"0.0025437525437525437%","instructor",1,"0.004544008724496751%","trying",1,"0.047058823529411764%","loci",2,"0.003811701924909472%","grant",2,"0.0060688124516268364%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","partnership-based",1,"0.0025437525437525437%","short-term",1,"0.004544008724496751%","early-onset",1,"0.047058823529411764%","seek",2,"0.003811701924909472%","study-provided",2,"0.004346125429179886%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","decision-making",1,"0.0025437525437525437%","membership",1,"0.004544008724496751%","eoad",1,"0.047058823529411764%","--",2,"0.003811701924909472%","community-based",2,"0.0032144473395873396%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","setting",1,"0.0025437525437525437%","contingent",1,"0.004544008724496751%","48-hour",1,"0.047058823529411764%","conducting",2,"0.008258687503970522%","maintain",2,"0.002516857730249806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","beds",1,"0.0025437525437525437%","upon",1,"0.004544008724496751%","assisted",1,"0.047058823529411764%","genome-wide",2,"0.004616759659049835%","fih",2,"0.015310397430080199%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","turnover",1,"0.0025437525437525437%","moderating",1,"0.004544008724496751%","ambulatory",1,"0.047058823529411764%","autopsy",2,"0.0034664733386583664%","allocated",2,"0.0054936559694141116%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cost",1,"0.0025437525437525437%","well-characterized",1,"0.003138731952291274%","fosgonimeton",1,"0.01508295625942685%","ex",2,"0.002988348066774982%","meetings",2,"0.0019838514492034835%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","trainer",1,"0.0025437525437525437%","biomarker-confirmed",1,"0.003138731952291274%","26-weeks",1,"0.01508295625942685%","situ",2,"0.0034140783428145993%","share",2,"0.0023664772771577205%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","semi-structured",1,"0.0025437525437525437%","facilitate",1,"0.003138731952291274%","parallel-arm",1,"0.01508295625942685%","self-reported",2,"0.004201218909936717%","aerobic",2,"0.001335720740261605%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","mixed-model",1,"0.0025437525437525437%","utilizing",1,"0.003138731952291274%","26",1,"0.01508295625942685%","intend",2,"0.0048311105792457265%","exercises",2,"0.0022882700336502248%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","covariance",1,"0.0025437525437525437%","subsequent",1,"0.003138731952291274%","active-controlled",1,"0.05115089514066496%","builds",2,"0.007992050242319275%","demographics",2,"0.0019971124883024377%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","covariates",1,"0.0025437525437525437%","in-clinic",1,"0.003138731952291274%","bpdo-1603",1,"0.05115089514066496%","relation",2,"0.00373365398389904%","npi-q",2,"0.0019838514492034835%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","content",1,"0.0025437525437525437%","confirmation",1,"0.003138731952291274%","moderate-to-severe",1,"0.05115089514066496%","blood-brain-barrier",2,"0.00585051923358198%","csdd",2,"0.0019838514492034835%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","generalizable",1,"0.0025437525437525437%","https",1,"0.003138731952291274%","a45",1,"0.01755926251097454%","glymphatic",2,"0.00585051923358198%","repeatable",2,"0.0023369699093032095%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","vulnerable",1,"0.0025437525437525437%","aptwebstudy",1,"0.003138731952291274%","a3",1,"0.01755926251097454%","lymphatic",2,"0.00585051923358198%","rbans",2,"0.0019838514492034835%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","larger",1,"0.0025437525437525437%","org",1,"0.003138731952291274%","anode",1,"0.013522650439486139%","addresses",2,"0.004525592486027791%","post",2,"0.004048347266260767%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","adapted",1,"0.0025437525437525437%","welcome",1,"0.003138731952291274%","cathode",1,"0.013522650439486139%","analysed",2,"0.003353103710403278%","zbi",2,"0.0019838514492034835%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","aggressive",1,"0.0025437525437525437%","discovering",1,"0.003138731952291274%","contralateral",1,"0.013522650439486139%","al002",2,"0.026205450733752623%","language",2,"0.00946412121043756%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","aligned",1,"0.0025437525437525437%","soon",1,"0.003138731952291274%","supraorbital",1,"0.013522650439486139%","18-55",2,"0.0021494334062264063%","spanish-speaking",2,"0.005132284636505941%","","",""
