"2010","Num studies:2","","2011","Num studies:4","","2012","Num studies:1","","2013","Num studies:1","","2014","Num studies:8","","2015","Num studies:6","","2016","Num studies:7","","2017","Num studies:14","","2018","Num studies:26","","2019","Num studies:28","","2020","Num studies:21","","2021","Num studies:18","","2022","Num studies:5",""
"","","","connections",1,"0.09057971014492754%","","","","","","","","","","","","","","","","oversight",1,"0.011614401858304297%","generalized",1,"0.007692307692307693%","provides",2,"0.005229031583350764%","coverage",1,"0.01935733643050716%","late-stage",1,"0.0034357177214320075%","isolation",1,"0.041407867494824016%"
"","","","making",1,"0.09057971014492754%","","","","","","","","","","","","","","","","basis",1,"0.011614401858304297%","prepared",1,"0.007692307692307693%","iadls",2,"0.005229031583350764%","sociodemographic",1,"0.01935733643050716%","consultants",1,"0.0034357177214320075%","mood",1,"0.041407867494824016%"
"","","","them",1,"0.09057971014492754%","","","","","","","","","","","","","","","","evaluated",1,"0.011614401858304297%","respectively",1,"0.007692307692307693%","discretionary",2,"0.005229031583350764%","features",1,"0.01935733643050716%","prototypes",1,"0.0034357177214320075%","physical",1,"0.041407867494824016%"
"","","","resistant",1,"0.09057971014492754%","","","","","","","","","","","","","","","","72",1,"0.011614401858304297%","beta-amyloid",1,"0.036284470246734396%","pain",2,"0.005229031583350764%","comprehensive",1,"0.01935733643050716%","liked",1,"0.0034357177214320075%","personalized",1,"0.041407867494824016%"
"","","","degradation",1,"0.09057971014492754%","","","","","","","","","","","","","","","","hours",1,"0.011614401858304297%","subcutaneous",1,"0.036284470246734396%","fall",2,"0.005229031583350764%","hunt4-protocol",1,"0.01935733643050716%","abrupt",1,"0.0034357177214320075%","profiles",1,"0.041407867494824016%"
"","","","progresses",1,"0.09057971014492754%","","","","","","","","","","","","","","","","next",1,"0.011614401858304297%","sc",1,"0.036284470246734396%","beneficiary",2,"0.005229031583350764%","institutionalized",1,"0.01935733643050716%","cessation",1,"0.0034357177214320075%","encouraged",1,"0.041407867494824016%"
"","","","targeting",1,"0.09057971014492754%","","","","","","","","","","","","","","","","delineating",1,"0.011614401858304297%","injection",1,"0.036284470246734396%","resources",2,"0.005229031583350764%","capacity",1,"0.01935733643050716%","completing",1,"0.0034357177214320075%","learn",1,"0.041407867494824016%"
"","","","successful",1,"0.09057971014492754%","","","","","","","","","","","","","","","","how",1,"0.011614401858304297%","116",1,"0.036284470246734396%","toolkits",2,"0.005229031583350764%","consent",1,"0.01935733643050716%","co-developed",1,"0.0034357177214320075%","how",1,"0.041407867494824016%"
"","","","outcome",1,"0.09057971014492754%","","","","","","","","","","","","","","","","approaches",1,"0.011614401858304297%","extension",1,"0.036284470246734396%","d-care",2,"0.04152823920265781%","measurement",1,"0.01935733643050716%","understand",1,"0.0034357177214320075%","effectively",1,"0.041407867494824016%"
"","","","would",1,"0.09057971014492754%","","","","","","","","","","","","","","","","promote",1,"0.011614401858304297%","willing",1,"0.036284470246734396%","works",2,"0.04152823920265781%","compensatory",1,"0.01935733643050716%","ll",1,"0.0034357177214320075%","modify",1,"0.041407867494824016%"
"","","","bode",1,"0.09057971014492754%","","","","","","","","","","","","","","","","abatement",1,"0.011614401858304297%","16",1,"0.0818330605564648%","side",1,"0.10204081632653061%","across",1,"0.01935733643050716%","subjective",1,"0.0034357177214320075%","progress",1,"0.041407867494824016%"
"","","","prevention",1,"0.09057971014492754%","","","","","","","","","","","","","","","","well-being",1,"0.011614401858304297%","delayed-start",1,"0.0818330605564648%","mesenchymal",1,"0.10204081632653061%","merging",1,"0.01935733643050716%","preliminary",1,"0.0034357177214320075%","material",1,"0.041407867494824016%"
"","","","reversal",1,"0.09057971014492754%","","","","","","","","","","","","","","","","implications",1,"0.011614401858304297%","demonstrate",1,"0.0818330605564648%","stem",1,"0.10204081632653061%","surveys",1,"0.01935733643050716%","relation",1,"0.0034357177214320075%","invocation",1,"0.041407867494824016%"
"","","","declining",1,"0.09057971014492754%","","","","","","","","","","","","","","","","helping",1,"0.011614401858304297%","consistently",1,"0.007526719855486978%","cell",1,"0.10204081632653061%","registries",1,"0.01935733643050716%","frequency",1,"0.0034357177214320075%","change",1,"0.041407867494824016%"
"","","","plus",1,"0.09057971014492754%","","","","","","","","","","","","","","","","avoid",1,"0.011614401858304297%","conducted",1,"0.007526719855486978%","infusions",1,"0.10204081632653061%","european",1,"0.01935733643050716%","h1",1,"0.0034357177214320075%","compliance",1,"0.041407867494824016%"
"","","","reading",1,"0.09057971014492754%","","","","","","","","","","","","","","","","enormous",1,"0.011614401858304297%","community",1,"0.007526719855486978%","loss",1,"0.011786892975011787%","populations",1,"0.01935733643050716%","h2",1,"0.0034357177214320075%","launching",1,"0.041407867494824016%"
"","","","another",1,"0.09057971014492754%","","","","","","","","","","","","","","","","terms",1,"0.011614401858304297%","none",1,"0.007526719855486978%","deposits",1,"0.011786892975011787%","elderly",1,"0.01935733643050716%","lab",1,"0.0034357177214320075%","essential",1,"0.041407867494824016%"
"","","","meaning",1,"0.09057971014492754%","","","","","","","","","","","","","","","","place",1,"0.011614401858304297%","concurrently",1,"0.007526719855486978%","remove",1,"0.011786892975011787%","finally",1,"0.01935733643050716%","continuous",1,"0.0034357177214320075%","conduct",1,"0.041407867494824016%"
"","","","letters",1,"0.09057971014492754%","","","","","","","","","","","","","","","","findings",1,"0.011614401858304297%","fill",1,"0.007526719855486978%","remarkably",1,"0.011786892975011787%","biobank",1,"0.01935733643050716%","ancillary",1,"0.0034357177214320075%","3-month",1,"0.041407867494824016%"
"","","","sounds",1,"0.09057971014492754%","","","","","","","","","","","","","","","","relevant",1,"0.011614401858304297%","gaps",1,"0.007526719855486978%","mice",1,"0.011786892975011787%","analysis",1,"0.01935733643050716%","embedded",1,"0.0034357177214320075%","of-",1,"0.041407867494824016%"
"","","","post-training",1,"0.09057971014492754%","","","","","","","","","","","","","","","","behavior",1,"0.011614401858304297%","specifically",1,"0.007526719855486978%","improved",1,"0.011786892975011787%","supplemented",1,"0.01935733643050716%","oregon",1,"0.0034357177214320075%","with-",1,"0.041407867494824016%"
"","","","never",1,"0.09057971014492754%","","","","","","","","","","","","","","","","engaging",1,"0.011614401858304297%","unpaid",1,"0.007526719855486978%","behavioral",1,"0.011786892975011787%","established",1,"0.01935733643050716%","roybal",1,"0.0034357177214320075%","learning",1,"0.041407867494824016%"
"","","","pairing",1,"0.09057971014492754%","","","","","","","","","","","","","","","","planning",1,"0.011614401858304297%","economic",1,"0.007526719855486978%","stimulate",1,"0.011786892975011787%","suspected",1,"0.01935733643050716%","advantaged",1,"0.0034357177214320075%","evaluated",1,"0.041407867494824016%"
"","","","combined",1,"0.09057971014492754%","","","","","","","","","","","","","","","","index",1,"0.008984725965858042%","221",1,"0.007526719855486978%","recruited",1,"0.011786892975011787%","particular",1,"0.01935733643050716%","integrating",1,"0.0034357177214320075%","being",1,"0.041407867494824016%"
"","","","task",1,"0.09057971014492754%","","","","","","","","","","","","","","","","scores",1,"0.008984725965858042%","fact",1,"0.007526719855486978%","optimize",1,"0.011786892975011787%","appropriate",1,"0.01935733643050716%","parent",1,"0.0034357177214320075%","friendly",1,"0.041407867494824016%"
"","","","ability",1,"0.09057971014492754%","","","","","","","","","","","","","","","","repeatable",1,"0.008984725965858042%","disturbed",1,"0.007526719855486978%","disruptions",1,"0.011786892975011787%","because",1,"0.01935733643050716%","irb",1,"0.0034357177214320075%","supportive",1,"0.041407867494824016%"
"","","","date",1,"0.09057971014492754%","","","","","","","","","","","","","","","","rbans",1,"0.008984725965858042%","major",1,"0.007526719855486978%","100",1,"0.011786892975011787%","extra",1,"0.01935733643050716%","20236",1,"0.0034357177214320075%","communicative",1,"0.041407867494824016%"
"","","","simple",1,"0.09057971014492754%","","","","","","","","","","","","","","","","depressive",1,"0.008984725965858042%","admitted",1,"0.007526719855486978%","entrainment",1,"0.011786892975011787%","resources",1,"0.01935733643050716%","theoretical",1,"0.0034357177214320075%","scalability",1,"0.041407867494824016%"
"","","","furthermore",1,"0.09057971014492754%","","","","","","","","","","","","","","","","sppb",1,"0.008984725965858042%","institutions",1,"0.007526719855486978%","call",1,"0.011786892975011787%","substantial",1,"0.01935733643050716%","framed",1,"0.0034357177214320075%","state-",1,"0.041407867494824016%"
"","","","understanding",1,"0.09057971014492754%","","","","","","","","","","","","","","","","two-minute",1,"0.008984725965858042%","bidirectional",1,"0.007526719855486978%","decreases",1,"0.011786892975011787%","prevalence",1,"0.01935733643050716%","vitaliano",1,"0.0034357177214320075%","national-levels",1,"0.041407867494824016%"
"","","","connecting",1,"0.09057971014492754%","","","","","","","","","","","","","","","","questionnaire",1,"0.008984725965858042%","nature",1,"0.007526719855486978%","findings",1,"0.011786892975011787%","pronounced",1,"0.01935733643050716%","hypothesizes",1,"0.0034357177214320075%","halt",1,"0.041407867494824016%"
"","","","words",1,"0.09057971014492754%","","","","","","","","","","","","","","","","phq-9",1,"0.008984725965858042%","addresses",1,"0.007526719855486978%","exposed",1,"0.011786892975011787%","furthermore",1,"0.01935733643050716%","exposure",1,"0.0034357177214320075%","","",""
"","","","starting",1,"0.059665871121718374%","","","","","","","","","","","","","","","","generalized",1,"0.008984725965858042%","shorter",1,"0.007526719855486978%","deliver",1,"0.011786892975011787%","preventive",1,"0.01935733643050716%","catalyzes",1,"0.0034357177214320075%","","",""
"","","","2014",1,"0.059665871121718374%","","","","","","","","","","","","","","","","gad-7",1,"0.008984725965858042%","engagement",1,"0.007526719855486978%","electroencephalography",1,"0.011786892975011787%","life-course",1,"0.01935733643050716%","cascade",1,"0.0034357177214320075%","","",""
"","","","expanded",1,"0.059665871121718374%","","","","","","","","","","","","","","","","36-item",1,"0.008984725965858042%","poor",1,"0.007526719855486978%","check",1,"0.011786892975011787%","perspective",1,"0.01935733643050716%","concerns",1,"0.0034357177214320075%","","",""
"","","","multi-centric",1,"0.059665871121718374%","","","","","","","","","","","","","","","","sf-36",1,"0.008984725965858042%","cardiovascular",1,"0.007526719855486978%","respond",1,"0.011786892975011787%","mainly",1,"0.01935733643050716%","physiological",1,"0.0034357177214320075%","","",""
"","","","design",1,"0.059665871121718374%","","","","","","","","","","","","","","","","6-months",1,"0.008984725965858042%","programs",1,"0.007526719855486978%","taken",1,"0.008585164835164836%","implemented",1,"0.01935733643050716%","strain",1,"0.0034357177214320075%","","",""
"","","","funded",1,"0.059665871121718374%","","","","","","","","","","","","","","","","action",1,"0.008984725965858042%","feasible",1,"0.007526719855486978%","n-acetyl",1,"0.008585164835164836%","setting",1,"0.01935733643050716%","original",1,"0.0034357177214320075%","","",""
"","","","german",1,"0.059665871121718374%","","","","","","","","","","","","","","","","completion",1,"0.008984725965858042%","improving",1,"0.007526719855486978%","aspartate",1,"0.008585164835164836%","atrophy",1,"0.013010668748373668%","places",1,"0.0034357177214320075%","","",""
"","","","diseases",1,"0.059665871121718374%","","","","","","","","","","","","","","","","show",1,"0.008984725965858042%","patient-caregiver",1,"0.007526719855486978%","fluorodeoxyglucose",1,"0.008585164835164836%","rare",1,"0.013010668748373668%","stressor",1,"0.0034357177214320075%","","",""
"","","","includes",1,"0.059665871121718374%","","","","","","","","","","","","","","","","crp",1,"0.008984725965858042%","dyad-based",1,"0.007526719855486978%","indicate",1,"0.008585164835164836%","fatal",1,"0.013010668748373668%","experiences",1,"0.0034357177214320075%","","",""
"","","","sites",1,"0.059665871121718374%","","","","","","","","","","","","","","","","il-1",1,"0.008984725965858042%","influence",1,"0.007526719855486978%","quantify",1,"0.008585164835164836%","characterised",1,"0.013010668748373668%","stressors",1,"0.0034357177214320075%","","",""
"","","","institute",1,"0.059665871121718374%","","","","","","","","","","","","","","","","il-6",1,"0.008984725965858042%","vice",1,"0.007526719855486978%","parallel",1,"0.008585164835164836%","variable",1,"0.013010668748373668%","disengagement",1,"0.0034357177214320075%","","",""
"","","","klinikum",1,"0.059665871121718374%","","","","","","","","","","","","","","","","il-8",1,"0.008984725965858042%","versa",1,"0.007526719855486978%","12-week",1,"0.008585164835164836%","parkinsonism",1,"0.013010668748373668%","addressing",1,"0.0034357177214320075%","","",""
"","","","der",1,"0.059665871121718374%","","","","","","","","","","","","","","","","tnf-α",1,"0.008984725965858042%","educating",1,"0.007526719855486978%","center",1,"0.008585164835164836%","cerebellar",1,"0.013010668748373668%","hypothesized",1,"0.0034357177214320075%","","",""
"","","","universität",1,"0.059665871121718374%","","","","","","","","","","","","","","","","s-100β",1,"0.008984725965858042%","own",1,"0.007526719855486978%","15-26",1,"0.008585164835164836%","autonomic",1,"0.013010668748373668%","feasible",1,"0.0034357177214320075%","","",""
"","","","coordinator",1,"0.059665871121718374%","","","","","","","","","","","","","","","","gfap",1,"0.008984725965858042%","builds",1,"0.007526719855486978%","inclusive",1,"0.008585164835164836%","neuropathological",1,"0.013010668748373668%","rewarding",1,"0.0034357177214320075%","","",""
"","","","berlin",1,"0.059665871121718374%","","","","","","","","","","","","","","","","vegf",1,"0.008984725965858042%","upon",1,"0.007526719855486978%","48",1,"0.008585164835164836%","hallmark",1,"0.013010668748373668%","risky",1,"0.0034357177214320075%","","",""
